Designator,Footprint,Quantity,Value,LCSC Part #
"_3, _2, ",,3,,
"BOOT1, BOOT2",SW_Push_1P1T_NO_CK_KMR2,2,USB_BOOT,
"C1, C11, C13, C14, C15, C16, C17, C18, C19, C21, C25, C27, C29, C3, C31, C32, C33, C34, C35, C36, C37, C38, C7, C9",0603,24,100n,
"C10, C2, C20, C22, C28, C4",0603,6,10u,
"C12, C26, C30, C8",0603,4,1u,
"C23, C24, C5, C6",0603,4,15p,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D2, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D5, D6, D7, D8, D9",LED_SK6812MINI,36,LED_SK6812MINI,C5149201
"D19, D20, D41, D42",LED_0805,4,Placeholder_LED,
"F1, F2",Fuse_0603,2,500mA,
"J1, J3, J4, J6",USB_C_Receptacle_HRO_TYPE-C-31-M-12,4,USB_C_Receptacle,
"R1, R12",0603,2,10k,
"R10, R11, R16, R17, R2, R20, R6, R9",0603,8,1k,
"R13, R5",0603,2,DNF,
"R14, R15, R3, R4",0603,4,5K1,
"R18, R19, R7, R8",0603,4,27.4,
"RESET1, RESET2",SW_Push_1P1T_NO_CK_KMR2,2,RESET,
"S1, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S2, S20, S21, S22, S23, S24, S25, S26, S27, S28, S29, S3, S30, S31, S32, S33, S34, S35, S36, S4, S5, S6, S7, S8, S9",Hotswap_Choc_V2_Plated_1.00u,36,Keyswitch,
"U1, U5",SOIC-8_5.23x5.23mm_P1.27mm,2,W25Q128JVS,
"U2, U6",Voltage_SOT-23,2,XC6206-3.3_SOT,
"U3, U7",SOT-23-6,2,USBLC6-2SC6,
"U4, U8",QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,2,RP2040,
"Y1, Y2",Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,2,Crystal_GND24,
